Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
033887.png,229710.0,272.0,39.0,379.0,0.9986479495350424,-1.0,-1.0,-1.0,-1.0,379.0,39.0,272.0,229710.0,0.5492753623188406,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033888.png,228854.0,187.0,1297.0,62.0,0.9935572940635067,-1.0,-1.0,-1.0,-1.0,55.0,1304.0,162.0,228879.0,0.03616042077580539,-1.0,-1.0,-1.0,-1.0,0.0,0.0,32.0,230368.0,0.0,-1.0,-1.0,-1.0,-1.0
033889.png,229937.0,67.0,18.0,378.0,0.9996304701289442,-1.0,-1.0,-1.0,-1.0,378.0,18.0,67.0,229937.0,0.816414686825054,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033890.png,229640.0,148.0,105.0,507.0,0.9988994880226888,-1.0,-1.0,-1.0,-1.0,365.0,93.0,157.0,229785.0,0.5934959349593496,-1.0,-1.0,-1.0,-1.0,112.0,42.0,21.0,230225.0,0.64,-1.0,-1.0,-1.0,-1.0
033891.png,229460.0,127.0,91.0,722.0,0.9990508450961781,-1.0,-1.0,-1.0,-1.0,321.0,77.0,147.0,229855.0,0.5889908256880734,-1.0,-1.0,-1.0,-1.0,347.0,68.0,34.0,229951.0,0.7728285077951003,-1.0,-1.0,-1.0,-1.0
033892.png,229533.0,75.0,63.0,729.0,0.9993991405096856,-1.0,-1.0,-1.0,-1.0,83.0,47.0,106.0,230164.0,0.3516949152542373,-1.0,-1.0,-1.0,-1.0,580.0,82.0,35.0,229703.0,0.8321377331420373,-1.0,-1.0,-1.0,-1.0
033893.png,229718.0,248.0,23.0,411.0,0.9988216827761328,-1.0,-1.0,-1.0,-1.0,390.0,28.0,210.0,229772.0,0.6210191082802548,-1.0,-1.0,-1.0,-1.0,15.0,1.0,44.0,230340.0,0.25,-1.0,-1.0,-1.0,-1.0
033894.png,229660.0,183.0,43.0,514.0,0.9990169040306934,-1.0,-1.0,-1.0,-1.0,154.0,36.0,140.0,230070.0,0.4666666666666667,-1.0,-1.0,-1.0,-1.0,343.0,24.0,60.0,229973.0,0.8032786885245902,-1.0,-1.0,-1.0,-1.0
033895.png,230126.0,169.0,26.0,79.0,0.9991533555342327,-1.0,-1.0,-1.0,-1.0,73.0,26.0,159.0,230142.0,0.28294573643410853,-1.0,-1.0,-1.0,-1.0,0.0,6.0,16.0,230378.0,0.0,-1.0,-1.0,-1.0,-1.0
033896.png,229490.0,194.0,137.0,579.0,0.998559748673968,-1.0,-1.0,-1.0,-1.0,283.0,126.0,245.0,229746.0,0.4327217125382263,-1.0,-1.0,-1.0,-1.0,217.0,90.0,28.0,230065.0,0.6477611940298508,-1.0,-1.0,-1.0,-1.0
033897.png,230037.0,153.0,33.0,177.0,0.9991920876715185,-1.0,-1.0,-1.0,-1.0,177.0,33.0,125.0,230065.0,0.5283582089552239,-1.0,-1.0,-1.0,-1.0,0.0,0.0,28.0,230372.0,0.0,-1.0,-1.0,-1.0,-1.0
033898.png,229958.0,180.0,63.0,199.0,0.9989444007628117,-1.0,-1.0,-1.0,-1.0,199.0,63.0,180.0,229958.0,0.4502262443438914,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033899.png,229672.0,49.0,61.0,618.0,0.9995212853922414,-1.0,-1.0,-1.0,-1.0,81.0,61.0,4.0,230254.0,0.5547945205479452,-1.0,-1.0,-1.0,-1.0,514.0,23.0,68.0,229795.0,0.8495867768595041,-1.0,-1.0,-1.0,-1.0
033900.png,229953.0,113.0,15.0,319.0,0.999443674184309,-1.0,-1.0,-1.0,-1.0,319.0,15.0,113.0,229953.0,0.7136465324384788,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033901.png,230038.0,39.0,13.0,310.0,0.9997740014776827,-1.0,-1.0,-1.0,-1.0,44.0,8.0,40.0,230308.0,0.4782608695652174,-1.0,-1.0,-1.0,-1.0,237.0,34.0,28.0,230101.0,0.7926421404682275,-1.0,-1.0,-1.0,-1.0
033902.png,229249.0,63.0,114.0,974.0,0.9992285094104417,-1.0,-1.0,-1.0,-1.0,617.0,103.0,105.0,229575.0,0.7478787878787879,-1.0,-1.0,-1.0,-1.0,308.0,60.0,7.0,230025.0,0.8213333333333334,-1.0,-1.0,-1.0,-1.0
033903.png,229812.0,115.0,71.0,402.0,0.9991912973156288,-1.0,-1.0,-1.0,-1.0,402.0,71.0,115.0,229812.0,0.6836734693877551,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033904.png,229686.0,199.0,90.0,425.0,0.9987433416675726,-1.0,-1.0,-1.0,-1.0,392.0,71.0,225.0,229712.0,0.5697674418604651,-1.0,-1.0,-1.0,-1.0,2.0,50.0,5.0,230343.0,0.03508771929824561,-1.0,-1.0,-1.0,-1.0
033905.png,229903.0,169.0,48.0,280.0,0.999057013731966,-1.0,-1.0,-1.0,-1.0,280.0,48.0,169.0,229903.0,0.5633802816901409,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
